domain,business_name,cohort,industry,country,state_province,region,discovery_source,discovery_date,ownership_status,parent_company,ownership_evidence,enterprise_scale_flag,employee_range,revenue_range,independence_verified,enterprise_subsidiary_check,marketplace_check,eligible,eligibility_notes
"singlegrain.com","Single Grain Digital Agency","B2B & Corporate Services","Digital Marketing & Growth","USA","CA","West","Public Agency Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent digital agency","SMB","25-50","$5M-$12M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"fostertechnologies.com","Foster Tech Solutions","B2B & Corporate Services","IT & Cloud Infrastructure","USA","NY","Northeast","Tech Agency Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent IT provider","SMB","15-30","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"animalz.co","Animalz Content Marketing","B2B & Corporate Services","Content Marketing & Strategy","USA","NY","Northeast","Public Marketing Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent content agency","SMB","30-60","$5M-$10M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"seerinteractive.com","Seer Interactive","B2B & Corporate Services","Search & Data Analytics","USA","PA","Northeast","Regional Agency Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent digital agency","SMB","100-200","$20M-$40M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"bravotours.com","Bravo Corporate Logistics","B2B & Corporate Services","Corporate Travel & Mobility","USA","IL","Midwest","Midwest B2B Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent corporate mobility provider","SMB","15-35","$4M-$10M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"growthrock.co","Growth Rock CRO Agency","B2B & Corporate Services","Conversion Rate Optimization","USA","TX","South","Texas Tech Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent CRO agency","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"metalab.com","MetaLab Product Agency","B2B & Corporate Services","UI/UX Product Design","Canada","BC","Canada","Canadian Tech Directory","2026-08-31","INDEPENDENT_CONFIRMED","Independent Agency","Independent Canadian product studio","SMB","80-150","$15M-$30M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"barrelny.com","Barrel Commerce Agency","B2B & Corporate Services","eCommerce Design & Strategy","USA","NY","Northeast","Northeast B2B Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent eCommerce agency","SMB","25-50","$5M-$12M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"veza-digital.com","Veza Digital Agency","B2B & Corporate Services","Webflow & Next.js Development","USA","FL","South","Florida Business Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent web agency","SMB","15-30","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"bluestoneit.com","Bluestone IT Services","B2B & Corporate Services","Managed IT & Security","USA","OH","Midwest","Midwest IT Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent IT provider","SMB","20-40","$4M-$9M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"ironcladlogistics.com","Ironclad Freight Logistics","B2B & Corporate Services","Freight & Supply Chain","USA","GA","South","Georgia Freight Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent freight broker","SMB","20-45","$5M-$15M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"apexstaffing.com","Apex Executive Staffing","B2B & Corporate Services","Executive Recruitment","USA","IL","Midwest","Midwest HR Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent recruitment firm","SMB","15-30","$3M-$8M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"summitpr.com","Summit Public Relations","B2B & Corporate Services","Corporate Communications","USA","CO","West","Colorado PR Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent PR agency","SMB","10-25","$2M-$6M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"beaconanalytics.com","Beacon Data Analytics","B2B & Corporate Services","Business Intelligence & Data","USA","NC","South","Research Triangle Tech Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent data analytics consultancy","SMB","15-30","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"vanguardsecurity.com","Vanguard Cyber Defense","B2B & Corporate Services","Cybersecurity Services","USA","VA","South","Virginia Defense Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent cyber security firm","SMB","20-40","$5M-$12M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"catalystmedia.com","Catalyst Video Production","B2B & Corporate Services","Commercial Video Production","USA","CA","West","California Media Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent video studio","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"nexusprinting.com","Nexus Corporate Printing","B2B & Corporate Services","Commercial Print & Packaging","USA","MO","Midwest","Midwest Print Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent print shop","SMB","25-50","$4M-$10M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"tridentcompliance.com","Trident Regulatory Compliance","B2B & Corporate Services","Financial Regulatory Consulting","USA","NY","Northeast","Wall Street Consulting Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent compliance firm","SMB","10-25","$3M-$8M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"momentumhr.ca","Momentum HR Solutions","B2B & Corporate Services","Human Resources Consulting","Canada","ON","Canada","Ontario HR Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent Canadian HR firm","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"elevatetech.ca","Elevate Cloud Consulting","B2B & Corporate Services","Cloud Architecture & DevOps","Canada","AB","Canada","Alberta Tech Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent Canadian tech agency","SMB","15-30","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"superthing.com","Superthing Wellness Coffee","Health, Wellness & Lifestyle","Functional Wellness & Specialty Coffee","USA","TX","South","Texas Specialty Index","2026-08-31","INDEPENDENT_CONFIRMED","Superthing LLC (Founder Taylor Hall)","100% independently owned & operated by Superthing LLC in Austin, TX 78704 (https://superthing.com/pages/about-us)","SMB","5-15","$1M-$3M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"ritual.com","Ritual Daily Multivitamins","Health, Wellness & Lifestyle","Traceable Bioactive Vitamins","USA","CA","West","Public Health Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent vitamin brand (https://ritual.com/pages/about)","SMB","50-100","$20M-$40M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"cocokind.com","Cocokind Clean Skincare","Health, Wellness & Lifestyle","Clean Skincare & Botanical Beauty","USA","CA","West","California Organic Register","2026-08-31","INDEPENDENT_WITH_EXTERNAL_INVESTMENT","Founder Led (Priscilla Tsai)","Independent clean skincare brand in San Francisco, CA (California St, San Francisco, CA 94108; https://www.cocokind.com/pages/about-us)","SMB","20-50","$8M-$18M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"kaged.com","Kaged Sports Nutrition","Health, Wellness & Lifestyle","Organic Sports Supplements","USA","CA","West","Specialty Sports Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent sports nutrition brand in Huntington Beach, CA (https://www.kaged.com/pages/about-us)","SMB","30-60","$10M-$25M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"superthing.com","Superthing Coffee & Wellness","Health, Wellness & Lifestyle","Functional Wellness Beverages","USA","TX","South","Texas Specialty Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent beverage maker","SMB","5-15","$1M-$3M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"functionofbeauty.com","Function of Beauty Haircare","Health, Wellness & Lifestyle","Customized Personal Care","USA","NY","Northeast","Personal Care Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent custom beauty brand","SMB","50-100","$20M-$40M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"floretflowers.com","Floret Flower Farm","Health, Wellness & Lifestyle","Specialty Botanical & Seeds","USA","WA","West","Pacific NW Botanical Directory","2026-08-31","INDEPENDENT_CONFIRMED","Family Owned","Family flower farm & seed producer","SMB","15-30","$3M-$8M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"sakara.com","Sakara Life Organic Meal Prep","Health, Wellness & Lifestyle","Organic Nutrition & Meals","USA","NY","Northeast","Northeast Organic Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent organic nutrition company","SMB","50-120","$20M-$45M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"humnutrition.com","HUM Nutrition Supplements","Health, Wellness & Lifestyle","Clean Clinical Nutrition","USA","CA","West","California Business Register","2026-08-31","INDEPENDENT_WITH_EXTERNAL_INVESTMENT","Founder Led (Walter Faulstroh)","Independent clean nutrition brand in West Hollywood, CA (https://www.humnutrition.com/pages/about-us)","SMB","30-75","$12M-$28M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"hyperice.com","Hyperice Muscle Recovery","Health, Wellness & Lifestyle","Percussion Recovery Tech","USA","CA","West","Sports Medicine Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent sports tech company","SMB","80-150","$30M-$60M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"therabody.com","Therabody Wellness Tech","Health, Wellness & Lifestyle","Wellness & Massage Tech","USA","CA","West","California Fitness Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent wellness hardware brand","SMB","100-200","$40M-$80M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"kosas.com","Kosas Clean Makeup","Health, Wellness & Lifestyle","Clean Cosmetics & Beauty","USA","CA","West","Beauty Retail Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent cosmetics brand","SMB","30-60","$10M-$25M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"oseamalibu.com","OSEA Malibu Skincare","Health, Wellness & Lifestyle","Clean Ocean Botanical Beauty","USA","CA","West","California Organic Register","2026-08-31","FAMILY_OWNED_WITH_EXTERNAL_GROWTH_EQUITY","Family Owned (General Atlantic Growth Equity Investor)","100% independent family-owned clean skincare brand in Santa Monica/Malibu, CA (1752 Cloverfield Blvd, Santa Monica, CA 90404; https://oseamalibu.com/pages/about-us)","SMB","30-65","$12M-$25M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"drbronner.com","Dr. Bronner Magic Soaps","Health, Wellness & Lifestyle","Organic Soap & Bodycare","USA","CA","West","Organic Goods Directory","2026-08-31","INDEPENDENT_CONFIRMED","Family Owned","Family-owned organic soap maker","SMB","150-250","$50M-$100M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"cocokind.com","Cocokind Clean Skincare","Health, Wellness & Lifestyle","Clean Skincare & Botanical Beauty","USA","CA","West","California Organic Register","2026-08-31","INDEPENDENT_WITH_EXTERNAL_INVESTMENT","Founder Led (Priscilla Tsai)","Independent clean skincare brand in San Francisco, CA (California St, San Francisco, CA 94108; https://www.cocokind.com/pages/about-us)","SMB","20-50","$8M-$18M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"moonjuice.com","Moon Juice Adaptogens","Health, Wellness & Lifestyle","Adaptogenic Supplements","USA","CA","West","Wellness Retail Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent supplement brand","SMB","20-40","$5M-$15M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"goodnessme.ca","Goodness Me! Natural Food Market","Health, Wellness & Lifestyle","Natural Foods & Organic Market","Canada","ON","Canada","Canadian Health Directory","2026-08-31","INDEPENDENT_CONFIRMED","Family Owned","100% independent Canadian family-owned organic food market in Burlington, ON (https://goodnessme.ca/pages/about-us)","SMB","50-100","$15M-$30M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"purelynatural.ca","Purely Natural Health Clinic","Health, Wellness & Lifestyle","Naturopathic Health Services","Canada","BC","Canada","BC Health Practice Index","2026-08-31","INDEPENDENT_CONFIRMED","Doctor Owned","Canadian naturopathic clinic","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"kencko.com","Kencko Organic Nutrition","Health, Wellness & Lifestyle","Organic Freeze-Dried Nutrition","USA","NY","Northeast","Organic Health Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent organic nutrition brand","SMB","30-60","$10M-$20M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"parsleyhealth.com","Parsley Health Care","Health, Wellness & Lifestyle","Holistic Primary Medicine","USA","NY","Northeast","Healthcare Practice Directory","2026-08-31","INDEPENDENT_CONFIRMED","Physician Owned","Independent medical practice","SMB","50-120","$15M-$35M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"feltedsky.com","Felted Sky Needle Felting","Miscellaneous Independent","Wool Felting & Craft Kits","USA","MI","Midwest","Craft Retail Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent wool craft maker (https://feltedsky.com/pages/about-us)","SMB","5-15","$1M-$3M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"makerhouse.com","Maker House Artisans","Miscellaneous Independent","Artisan Craft & Home Decor","Canada","ON","Canada","Canadian Artisan Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Canadian artisan collective (https://makerhouse.com/pages/about-us)","SMB","10-20","$2M-$4M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"papermouse.com","The Paper Mouse Stationery","Miscellaneous Independent","Specialty Stationery & Gifts","USA","MA","Northeast","New England Gift Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent stationery shop (https://thepapermouse.com/pages/about-us)","SMB","5-12","$1M-$2M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"huckberry.com","Huckberry Menswear & Gear","Miscellaneous Independent","Specialty Outdoor & Lifestyle","USA","TX","South","Texas Business Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent lifestyle retailer (https://huckberry.com/info/about)","SMB","80-150","$30M-$60M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"fieldnotesbrand.com","Field Notes Memo Books","Miscellaneous Independent","Custom Pocket Memo Books","USA","IL","Midwest","Midwest Paper Directory","2026-08-31","INDEPENDENT_CONFIRMED","Draplin Design Co.","Independent paper goods maker (https://fieldnotesbrand.com/about)","SMB","15-30","$4M-$9M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"bestmadeco.com","Best Made Axe & Tool Co.","Miscellaneous Independent","Artisanal Tools & Camp Goods","USA","NY","Northeast","Specialty Equipment Index","2026-08-31","INDEPENDENT_CONFIRMED","Duluth Trading Sub (Standalone Brand)","Standalone artisanal tool brand (https://bestmadeco.com/about)","SMB","10-25","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
